         0    84.0188   -70.3326 4.65022e-310
       0.1    77.0113     -69.56    8.05086
       0.2    70.1583   -67.2423    15.5074
       0.3    63.6143   -63.3795    22.2928
       0.4    57.5339   -57.9716    28.4457
       0.5    52.0715   -51.0185    34.0202
       0.6    47.3817   -42.5203    39.0858
       0.7    43.6189    -32.477    43.7274
       0.8    40.9378   -20.8886    48.0456
       0.9    39.4927   -7.75499    52.1562
         1    39.4383     6.9237    56.1905
       1.1    40.8579    21.0157    53.8556
       1.2    43.5508    32.3892    58.1665
       1.3    47.2451    41.0442    62.7991
       1.4     51.669    46.9807    67.8399
       1.5    56.5507    50.1987    73.3482
       1.6    61.6182    50.6982    79.3562
       1.7    66.5997    48.4792    85.8689
       1.8    71.2234    43.5417    92.8642
       1.9    75.2174    35.8857    100.293
         2    78.3099    25.5112    108.078
       2.1    80.3091    14.8182    127.445
       2.2     81.343    6.20673    135.634
       2.3    81.6198  -0.323275    143.888
       2.4    81.3477   -4.77179     152.14
       2.5    80.7348   -7.13881    160.346
       2.6    79.9893   -7.42434    168.483
       2.7    79.3193   -5.62837    176.546
       2.8     78.933   -1.75091    184.556
       2.9    79.0385    4.20805    192.549
         3     79.844    12.2485    200.587
       3.1    81.4766    19.9397    200.074
       3.2    83.7393    24.8508     208.43
       3.3    86.3541     26.982    217.033
       3.4     89.043    26.3331    225.904
       3.5     91.528    22.9042    235.035
       3.6    93.5312    16.6952    244.393
       3.7    94.7744    7.70626    253.916
       3.8    94.9798   -4.06272    263.513
       3.9    93.8692   -18.6117    273.068
         4    91.1647   -35.9408    282.434
       4.1    86.6928    -52.916    303.025
       4.2    80.6978   -66.4037    311.505
       4.3    73.5283   -76.4038    319.325
       4.4    65.5333   -82.9163    326.384
       4.5    57.0613   -85.9412    332.616
       4.6    48.4613   -85.4785    337.992
       4.7    40.0819   -81.5283    342.515
       4.8    32.2719   -74.0904    346.227
       4.9      25.38    -63.165      349.2
         5    19.7551    -48.752    351.545
       5.1    15.6695   -33.1431    338.872
       5.2      13.09   -18.6302    340.398
       5.3     11.907   -5.21308    341.736
       5.4    12.0108    7.10809    343.022
       5.5     13.292    18.3334    344.378
       5.6     15.641    28.4628    345.916
       5.7    18.9481    37.4962    347.738
       5.8    23.1037    45.4338    349.934
       5.9    27.9983    52.2755    352.583
         6    33.5223    58.0213    355.754
       6.1    39.5436    61.9979    364.071
       6.2    45.8404    63.5318    368.439
       6.3    52.1685    62.6232     373.44
       6.4    58.2837     59.272    379.065
       6.5    63.9415    53.4782    385.281
       6.6    68.8979    45.2417     392.03
       6.7    72.9084    34.5627    399.229
       6.8     75.729    21.4411    406.772
       6.9    77.1152    5.87695    414.527
         7     76.823   -12.1298    422.339
       7.1    74.7078   -29.5812    440.208
       7.2    71.0252    -43.479    447.606
       7.3    66.1304   -53.8234    454.572
       7.4    60.3789   -60.6143    461.004
       7.5     54.126   -63.8517    466.831
       7.6    47.7271   -63.5356    472.024
       7.7    41.5374    -59.666    476.584
       7.8    35.9123    -52.243     480.55
       7.9    31.2072   -41.2664    483.997
         8    27.7775   -26.7364    487.034
       8.1     25.892   -11.2449    474.999
       8.2    25.4741    2.61581    477.655
       8.3    26.3608    14.8459    480.337
       8.4    28.3889    25.4453    483.165
       8.5    31.3955     34.414    486.247
       8.6    35.2174    41.7521    489.672
       8.7    39.6916    47.4594    493.512
       8.8    44.6549    51.5361    497.826
       8.9    49.9444    53.9821    502.654
         9     55.397    54.7975    508.021
