         0    84.0188   -94.5498 4.66304e-310
       0.1    75.0635   -84.5559    7.94578
       0.2    67.1076   -74.5621     15.146
       0.3    60.1511   -64.5682    21.6006
       0.4    54.1939   -54.5743    27.4095
       0.5    49.2362   -44.5805    32.6727
       0.6    45.2778   -34.5866    37.4901
       0.7    42.3189   -24.5927    41.9616
       0.8    40.3593   -14.5989    46.1872
       0.9    39.3991   -4.60502    50.2668
         1    39.4383    5.38884    54.3003
       1.1     40.312    12.0854    58.3822
       1.2    41.8554     18.782     62.585
       1.3    44.0684    25.4785    66.9756
       1.4    46.9511    32.1751     71.621
       1.5    50.5034    38.8716    76.5882
       1.6    54.7254    45.5682     81.944
       1.7     59.617    52.2647    87.7556
       1.8    65.1784    58.9613    94.0898
       1.9    71.4093    65.6579    101.014
         2    78.3099    72.3544    108.594
       2.1    84.8372    58.1903    116.863
       2.2     89.948    44.0263    125.714
       2.3    93.6424    29.8622    135.005
       2.4    95.9204    15.6981    144.595
       2.5     96.782    1.53408    154.342
       2.6    96.2273     -12.63    164.105
       2.7     94.256   -26.7941    173.741
       2.8    90.8684   -40.9581    183.109
       2.9    86.0644   -55.1222    192.067
         3     79.844   -69.2863    200.474
       3.1    73.7214   -53.1649    208.239
       3.2     69.211   -37.0435    215.472
       3.3    66.3128   -20.9221    222.335
       3.4    65.0266   -4.80066    228.989
       3.5    65.3526    11.3207    235.594
       3.6    67.2908    27.4421    242.313
       3.7     70.841    43.5635    249.306
       3.8    76.0035    59.6849    256.735
       3.9     82.778    75.8063     264.76
         4    91.1647    91.9277    273.544
       4.1    98.7241    59.2603    283.166
       4.2    103.017    26.5928     293.38
       4.3    104.043   -6.07467     303.86
       4.4    101.802   -38.7421     314.28
       4.5    96.2943   -71.4096    324.312
       4.6    87.5199   -104.077     333.63
       4.7    75.4789   -136.745    341.907
       4.8     60.171   -169.412    348.817
       4.9    41.5965   -202.079    354.032
         5    19.7551   -234.747    357.227
       5.1   -1.23441   -185.044    358.212
       5.2   -17.2537   -135.341    357.346
       5.3   -28.3027   -85.6385    355.127
       5.4   -34.3814   -35.9357    352.051
       5.5   -35.4898    13.7671    348.616
       5.6    -31.628    63.4699    345.319
       5.7   -22.7958    113.173    342.656
       5.8    -8.9934    162.876    341.125
       5.9     9.7793    212.578    341.223
         6    33.5223    262.281    343.447
       6.1    57.5606    218.485    348.137
       6.2    77.2193    174.689    355.013
       6.3    92.4984    130.893    363.635
       6.4    103.398    87.0968    373.567
       6.5    109.918    43.3007    384.369
       6.6    112.058  -0.495418    395.604
       6.7    109.819   -44.2915    406.834
       6.8      103.2   -88.0876    417.622
       6.9    92.2011   -131.884    427.528
         7     76.823    -175.68    436.116
       7.1    60.5213   -150.353    443.062
       7.2    46.7524   -125.026    448.505
       7.3    35.5161   -99.6992    452.697
       7.4    26.8125   -74.3724    455.892
       7.5    20.6416   -49.0455    458.344
       7.6    17.0034   -23.7186    460.305
       7.7    15.8979    1.60825    462.029
       7.8    17.3251    26.9351    463.769
       7.9    21.2849     52.262    465.779
         8    27.7775    77.5888    468.311
       8.1    35.0367     67.595     471.56
       8.2    41.2965    57.6011    475.485
       8.3    46.5569    47.6073    479.986
       8.4    50.8179    37.6134    484.963
       8.5    54.0796    27.6195    490.316
       8.6    56.3418    17.6257    495.945
       8.7    57.6047     7.6318    501.751
       8.8    57.8682   -2.36207    507.633
       8.9    57.1323   -12.3559    513.491
         9     55.397   -22.3498    519.226
